,date,demographic_category,administered_dose1,administered_dose1_pct_known,administered_dose1_pct_us,series_complete_yes,administered_dose1_pct,series_complete_pop_pct,series_complete_pop_pct_known,series_complete_pop_pct_us
0,2021-06-10T00:00:00.000,black,8883539,9,0,7537560,23.6,20,8.7,0
4,2021-06-10T00:00:00.000,unknown,60948707,62,0,43828721,0,0,50.4,0
7,2021-06-10T00:00:00.000,US,159198695,0,0,130796141,0,0,0,0
8,2021-06-10T00:00:00.000,native_hawaiian/other_pacific_islander,295066,0.3,0,241498,33.1,27.1,0.3,0
13,2021-06-10T00:00:00.000,hispanic/latino,14383057,14.6,0,11664320,27.5,22.3,13.4,0
15,2021-06-10T00:00:00.000,white,59713296,60.8,0,54525585,32.2,29.4,62.7,0
18,2021-06-10T00:00:00.000,american_indian/alaska_native,1000673,1,0,821034,42.7,35.1,0.9,0
19,2021-06-10T00:00:00.000,asian,5972362,6.1,0,5258910,34,30,6,0
20,2021-06-10T00:00:00.000,other_race_or_multi-racial,8001995,8.1,0,6918513,0,0,8,0
22,2021-06-10T00:00:00.000,known,98249988,0,61.7,86967420,0,0,0,66.5
29,2021-06-09T00:00:00.000,native_hawaiian/other_pacific_islander,294219,0.3,0,240225,33,26.9,0.3,0
30,2021-06-09T00:00:00.000,asian,5960478,6.1,0,5235428,34,29.8,6,0
31,2021-06-09T00:00:00.000,unknown,60861762,62.1,0,43710531,0,0,50.5,0
32,2021-06-09T00:00:00.000,american_indian/alaska_native,998034,1,0,816961,42.6,34.9,0.9,0
34,2021-06-09T00:00:00.000,US,158878312,0,0,130260865,0,0,0,0
36,2021-06-09T00:00:00.000,black,8853480,9,0,7493374,23.5,19.9,8.7,0
37,2021-06-09T00:00:00.000,hispanic/latino,14319545,14.6,0,11578390,27.4,22.2,13.4,0
38,2021-06-09T00:00:00.000,known,98016550,0,61.7,86550334,0,0,0,66.4
42,2021-06-09T00:00:00.000,other_race_or_multi-racial,7987812,8.1,0,6891069,0,0,8,0
54,2021-06-09T00:00:00.000,white,59602982,60.8,0,54294887,32.1,29.3,62.7,0
58,2021-06-08T00:00:00.000,white,59521678,60.9,0,54111159,32.1,29.2,62.8,0
62,2021-06-08T00:00:00.000,unknown,60785617,62.1,0,43620444,0,0,50.6,0
63,2021-06-08T00:00:00.000,asian,5945401,6.1,0,5204894,33.9,29.7,6,0
68,2021-06-08T00:00:00.000,hispanic/latino,14249666,14.6,0,11477587,27.3,22,13.3,0
72,2021-06-08T00:00:00.000,other_race_or_multi-racial,7972524,8.2,0,6853364,0,0,8,0
74,2021-06-08T00:00:00.000,known,97809656,0,61.7,86159342,0,0,0,66.4
75,2021-06-08T00:00:00.000,black,8830593,9,0,7459079,23.5,19.8,8.7,0
76,2021-06-08T00:00:00.000,american_indian/alaska_native,996217,1,0,814042,42.6,34.8,0.9,0
79,2021-06-08T00:00:00.000,native_hawaiian/other_pacific_islander,293577,0.3,0,239217,32.9,26.8,0.3,0
80,2021-06-08T00:00:00.000,US,158595273,0,0,129779786,0,0,0,0
86,2021-06-07T00:00:00.000,unknown,60691487,62.2,0,43510244,0,0,50.8,0
91,2021-06-07T00:00:00.000,asian,5922154,6.1,0,5159166,33.8,29.4,6,0
93,2021-06-07T00:00:00.000,US,158208368,0,0,129125095,0,0,0,0
97,2021-06-07T00:00:00.000,other_race_or_multi-racial,7951680,8.2,0,6807347,0,0,8,0
98,2021-06-07T00:00:00.000,hispanic/latino,14172001,14.5,0,11368110,27.1,21.8,13.3,0
100,2021-06-07T00:00:00.000,white,59393874,60.9,0,53825083,32,29,62.9,0
104,2021-06-07T00:00:00.000,known,97516881,0,61.6,85614851,0,0,0,66.3
108,2021-06-07T00:00:00.000,native_hawaiian/other_pacific_islander,292431,0.3,0,237560,32.8,26.6,0.3,0
109,2021-06-07T00:00:00.000,black,8790382,9,0,7406455,23.3,19.7,8.7,0
110,2021-06-07T00:00:00.000,american_indian/alaska_native,994359,1,0,811130,42.5,34.6,0.9,0
113,2021-06-06T00:00:00.000,unknown,60567018,62.3,0,43356877,0,0,51,0
116,2021-06-06T00:00:00.000,white,59259283,61,0,53539525,32,28.9,63,0
117,2021-06-06T00:00:00.000,hispanic/latino,14068900,14.5,0,11223386,26.9,21.5,13.2,0
118,2021-06-06T00:00:00.000,black,8757266,9,0,7361100,23.3,19.5,8.7,0
119,2021-06-06T00:00:00.000,known,97192789,0,61.6,85029369,0,0,0,66.2
122,2021-06-06T00:00:00.000,other_race_or_multi-racial,7928533,8.2,0,6756260,0,0,7.9,0
128,2021-06-06T00:00:00.000,native_hawaiian/other_pacific_islander,291614,0.3,0,236006,32.7,26.5,0.3,0
130,2021-06-06T00:00:00.000,US,157759807,0,0,128386246,0,0,0,0
131,2021-06-06T00:00:00.000,asian,5895661,6.1,0,5106721,33.6,29.1,6,0
139,2021-06-06T00:00:00.000,american_indian/alaska_native,991532,1,0,806371,42.4,34.4,0.9,0
142,2021-06-05T00:00:00.000,white,59074662,61,0,53218596,31.9,28.7,63.1,0
148,2021-06-05T00:00:00.000,hispanic/latino,13972184,14.4,0,11096877,26.8,21.3,13.1,0
153,2021-06-05T00:00:00.000,american_indian/alaska_native,987476,1,0,801384,42.2,34.2,0.9,0
154,2021-06-05T00:00:00.000,known,96786416,0,61.6,84392048,0,0,0,66.1
157,2021-06-05T00:00:00.000,other_race_or_multi-racial,7891971,8.2,0,6688788,0,0,7.9,0
160,2021-06-05T00:00:00.000,US,157245288,0,0,127605958,0,0,0,0
161,2021-06-05T00:00:00.000,native_hawaiian/other_pacific_islander,289844,0.3,0,233828,32.5,26.2,0.3,0
163,2021-06-05T00:00:00.000,unknown,60458872,62.5,0,43213910,0,0,51.2,0
165,2021-06-05T00:00:00.000,asian,5861534,6.1,0,5049709,33.4,28.8,6,0
166,2021-06-05T00:00:00.000,black,8708745,9,0,7302866,23.1,19.4,8.7,0
172,2021-06-04T00:00:00.000,unknown,60300941,62.5,0,43051614,0,0,51.3,0
173,2021-06-04T00:00:00.000,hispanic/latino,13861940,14.4,0,10970264,26.5,21,13.1,0
175,2021-06-04T00:00:00.000,US,156751003,0,0,126997411,0,0,0,0
183,2021-06-04T00:00:00.000,asian,5839410,6.1,0,5019764,33.3,28.6,6,0
185,2021-06-04T00:00:00.000,white,58933008,61.1,0,53009094,31.8,28.6,63.1,0
186,2021-06-04T00:00:00.000,known,96450062,0,61.5,83945797,0,0,0,66.1
188,2021-06-04T00:00:00.000,other_race_or_multi-racial,7868359,8.2,0,6650793,0,0,7.9,0
189,2021-06-04T00:00:00.000,native_hawaiian/other_pacific_islander,288179,0.3,0,232196,32.3,26,0.3,0
190,2021-06-04T00:00:00.000,black,8674752,9,0,7265349,23,19.3,8.7,0
195,2021-06-04T00:00:00.000,american_indian/alaska_native,984414,1,0,798337,42,34.1,1,0
197,2021-06-03T00:00:00.000,unknown,60132057,62.6,0,42881051,0,0,51.4,0
202,2021-06-03T00:00:00.000,hispanic/latino,13746606,14.3,0,10841667,26.3,20.8,13,0
205,2021-06-03T00:00:00.000,other_race_or_multi-racial,7838659,8.2,0,6608700,0,0,7.9,0
206,2021-06-03T00:00:00.000,native_hawaiian/other_pacific_islander,287167,0.3,0,230840,32.2,25.9,0.3,0
207,2021-06-03T00:00:00.000,US,156161624,0,0,126249195,0,0,0,0
209,2021-06-03T00:00:00.000,black,8616546,9,0,7186811,22.9,19.1,8.6,0
215,2021-06-03T00:00:00.000,white,58751566,61.2,0,52729502,31.7,28.4,63.2,0
216,2021-06-03T00:00:00.000,known,96029567,0,61.5,83368144,0,0,0,66
217,2021-06-03T00:00:00.000,american_indian/alaska_native,980391,1,0,794403,41.9,33.9,1,0
222,2021-06-03T00:00:00.000,asian,5808632,6,0,4976221,33.1,28.4,6,0
224,2021-06-02T00:00:00.000,unknown,60042225,62.7,0,42779764,0,0,51.5,0
227,2021-06-02T00:00:00.000,known,95808691,0,61.5,83020278,0,0,0,66
229,2021-06-02T00:00:00.000,white,58655820,61.2,0,52568326,31.6,28.3,63.3,0
231,2021-06-02T00:00:00.000,american_indian/alaska_native,976176,1,0,790087,41.7,33.7,1,0
236,2021-06-02T00:00:00.000,black,8593143,9,0,7151339,22.8,19,8.6,0
238,2021-06-02T00:00:00.000,hispanic/latino,13679749,14.3,0,10747619,26.2,20.6,12.9,0
240,2021-06-02T00:00:00.000,native_hawaiian/other_pacific_islander,286308,0.3,0,229788,32.1,25.8,0.3,0
246,2021-06-02T00:00:00.000,US,155850916,0,0,125800042,0,0,0,0
250,2021-06-02T00:00:00.000,other_race_or_multi-racial,7822767,8.2,0,6580828,0,0,7.9,0
251,2021-06-02T00:00:00.000,asian,5794728,6,0,4952291,33,28.2,6,0
252,2021-06-01T00:00:00.000,unknown,59984931,62.7,0,42724404,0,0,51.6,0
255,2021-06-01T00:00:00.000,US,155632314,0,0,125541836,0,0,0,0
256,2021-06-01T00:00:00.000,hispanic/latino,13632580,14.3,0,10695088,26.1,20.5,12.9,0
257,2021-06-01T00:00:00.000,known,95647383,0,61.5,82817432,0,0,0,66
260,2021-06-01T00:00:00.000,other_race_or_multi-racial,7811475,8.2,0,6566023,0,0,7.9,0
263,2021-06-01T00:00:00.000,black,8573962,9,0,7128689,22.8,18.9,8.6,0
270,2021-06-01T00:00:00.000,asian,5781841,6,0,4934564,33,28.1,6,0
272,2021-06-01T00:00:00.000,american_indian/alaska_native,975362,1,0,789220,41.7,33.7,1,0
273,2021-06-01T00:00:00.000,white,58586732,61.3,0,52474741,31.6,28.3,63.4,0
276,2021-06-01T00:00:00.000,native_hawaiian/other_pacific_islander,285431,0.3,0,229107,32,25.7,0.3,0
280,2021-05-31T00:00:00.000,other_race_or_multi-racial,7797752,8.2,0,6546821,0,0,7.9,0
284,2021-05-31T00:00:00.000,known,95467616,0,61.4,82617009,0,0,0,65.9
287,2021-05-31T00:00:00.000,white,58504416,61.3,0,52375345,31.5,28.2,63.4,0
288,2021-05-31T00:00:00.000,hispanic/latino,13587796,14.2,0,10654440,26,20.4,12.9,0
289,2021-05-31T00:00:00.000,unknown,59927718,62.8,0,42680884,0,0,51.7,0
